nohup: ignoring input
0.3.1
Starting training
epoch: 1
[epoch:001, iter:00001] Loss: 2.392 | Acc: 9.375% | time: 1.61s 
[epoch:001, iter:00002] Loss: 2.409 | Acc: 8.854% | time: 1.92s 
[epoch:001, iter:00003] Loss: 2.372 | Acc: 9.375% | time: 2.24s 
[epoch:001, iter:00004] Loss: 2.344 | Acc: 10.938% | time: 2.55s 
[epoch:001, iter:00005] Loss: 2.362 | Acc: 10.417% | time: 2.86s 
[epoch:001, iter:00006] Loss: 2.365 | Acc: 10.677% | time: 3.17s 
[epoch:001, iter:00007] Loss: 2.348 | Acc: 11.235% | time: 3.49s 
[epoch:001, iter:00008] Loss: 2.331 | Acc: 11.784% | time: 3.80s 
[epoch:001, iter:00009] Loss: 2.319 | Acc: 12.963% | time: 4.12s 
[epoch:001, iter:00010] Loss: 2.311 | Acc: 13.542% | time: 4.43s 
[epoch:001, iter:00011] Loss: 2.297 | Acc: 14.678% | time: 4.75s 
[epoch:001, iter:00012] Loss: 2.286 | Acc: 14.931% | time: 5.06s 
[epoch:001, iter:00013] Loss: 2.276 | Acc: 15.104% | time: 5.37s 
[epoch:001, iter:00014] Loss: 2.266 | Acc: 15.699% | time: 5.69s 
[epoch:001, iter:00015] Loss: 2.257 | Acc: 15.938% | time: 6.00s 
[epoch:001, iter:00016] Loss: 2.248 | Acc: 16.341% | time: 6.32s 
[epoch:001, iter:00017] Loss: 2.235 | Acc: 16.728% | time: 6.63s 
[epoch:001, iter:00018] Loss: 2.220 | Acc: 17.101% | time: 6.94s 
[epoch:001, iter:00019] Loss: 2.209 | Acc: 17.544% | time: 7.26s 
[epoch:001, iter:00020] Loss: 2.197 | Acc: 17.917% | time: 7.57s 
[epoch:001, iter:00021] Loss: 2.184 | Acc: 18.304% | time: 7.89s 
[epoch:001, iter:00022] Loss: 2.175 | Acc: 18.916% | time: 8.20s 
[epoch:001, iter:00023] Loss: 2.166 | Acc: 18.976% | time: 8.51s 
[epoch:001, iter:00024] Loss: 2.163 | Acc: 19.206% | time: 8.83s 
[epoch:001, iter:00025] Loss: 2.155 | Acc: 19.458% | time: 9.14s 
[epoch:001, iter:00026] Loss: 2.148 | Acc: 19.551% | time: 9.46s 
[epoch:001, iter:00027] Loss: 2.140 | Acc: 19.753% | time: 9.77s 
[epoch:001, iter:00028] Loss: 2.135 | Acc: 20.089% | time: 10.09s 
[epoch:001, iter:00029] Loss: 2.129 | Acc: 20.259% | time: 10.40s 
[epoch:001, iter:00030] Loss: 2.125 | Acc: 20.642% | time: 10.72s 
[epoch:001, iter:00031] Loss: 2.118 | Acc: 20.901% | time: 11.03s 
[epoch:001, iter:00032] Loss: 2.108 | Acc: 21.240% | time: 11.34s 
[epoch:001, iter:00033] Loss: 2.097 | Acc: 21.575% | time: 11.66s 
[epoch:001, iter:00034] Loss: 2.089 | Acc: 21.860% | time: 11.98s 
[epoch:001, iter:00035] Loss: 2.085 | Acc: 21.801% | time: 12.29s 
[epoch:001, iter:00036] Loss: 2.076 | Acc: 22.020% | time: 12.61s 
[epoch:001, iter:00037] Loss: 2.072 | Acc: 22.227% | time: 12.92s 
[epoch:001, iter:00038] Loss: 2.067 | Acc: 22.300% | time: 13.23s 
[epoch:001, iter:00039] Loss: 2.063 | Acc: 22.569% | time: 13.55s 
[epoch:001, iter:00040] Loss: 2.058 | Acc: 22.878% | time: 13.87s 
[epoch:001, iter:00041] Loss: 2.054 | Acc: 22.993% | time: 14.18s 
[epoch:001, iter:00042] Loss: 2.050 | Acc: 23.140% | time: 14.50s 
[epoch:001, iter:00043] Loss: 2.046 | Acc: 23.341% | time: 14.81s 
[epoch:001, iter:00044] Loss: 2.043 | Acc: 23.556% | time: 15.13s 
[epoch:001, iter:00045] Loss: 2.040 | Acc: 23.623% | time: 15.44s 
[epoch:001, iter:00046] Loss: 2.036 | Acc: 23.641% | time: 15.75s 
[epoch:001, iter:00047] Loss: 2.033 | Acc: 23.737% | time: 16.07s 
[epoch:001, iter:00048] Loss: 2.028 | Acc: 23.828% | time: 16.38s 
[epoch:001, iter:00049] Loss: 2.023 | Acc: 24.054% | time: 16.70s 
[epoch:001, iter:00050] Loss: 2.020 | Acc: 24.208% | time: 17.01s 
[epoch:001, iter:00051] Loss: 2.016 | Acc: 24.306% | time: 17.33s 
[epoch:001, iter:00052] Loss: 2.012 | Acc: 24.539% | time: 17.64s 
[epoch:001, iter:00053] Loss: 2.008 | Acc: 24.587% | time: 17.96s 
[epoch:001, iter:00054] Loss: 2.004 | Acc: 24.720% | time: 18.27s 
[epoch:001, iter:00055] Loss: 1.999 | Acc: 24.915% | time: 18.59s 
[epoch:001, iter:00056] Loss: 1.996 | Acc: 25.056% | time: 18.90s 
[epoch:001, iter:00057] Loss: 1.995 | Acc: 25.164% | time: 19.22s 
[epoch:001, iter:00058] Loss: 1.993 | Acc: 25.233% | time: 19.53s 
[epoch:001, iter:00059] Loss: 1.989 | Acc: 25.362% | time: 19.85s 
[epoch:001, iter:00060] Loss: 1.986 | Acc: 25.512% | time: 20.16s 
[epoch:001, iter:00061] Loss: 1.985 | Acc: 25.598% | time: 20.48s 
[epoch:001, iter:00062] Loss: 1.982 | Acc: 25.680% | time: 20.79s 
[epoch:001, iter:00063] Loss: 1.979 | Acc: 25.736% | time: 21.11s 
[epoch:001, iter:00064] Loss: 1.975 | Acc: 25.798% | time: 21.42s 
[epoch:001, iter:00065] Loss: 1.970 | Acc: 25.994% | time: 21.74s 
[epoch:001, iter:00066] Loss: 1.967 | Acc: 26.121% | time: 22.05s 
