nohup: ignoring input
0.3.1
Starting training
epoch: 1
[epoch:001, iter:00001] Loss: 2.303 | Acc: 12.500% | time: 0.98s 
[epoch:001, iter:00002] Loss: 2.312 | Acc: 11.719% | time: 1.11s 
[epoch:001, iter:00003] Loss: 2.322 | Acc: 12.500% | time: 1.22s 
[epoch:001, iter:00004] Loss: 2.338 | Acc: 12.109% | time: 1.33s 
[epoch:001, iter:00005] Loss: 2.326 | Acc: 12.500% | time: 1.45s 
[epoch:001, iter:00006] Loss: 2.351 | Acc: 12.240% | time: 1.56s 
[epoch:001, iter:00007] Loss: 2.342 | Acc: 13.393% | time: 1.68s 
[epoch:001, iter:00008] Loss: 2.341 | Acc: 13.086% | time: 1.79s 
[epoch:001, iter:00009] Loss: 2.352 | Acc: 12.847% | time: 1.91s 
[epoch:001, iter:00010] Loss: 2.377 | Acc: 12.344% | time: 2.02s 
[epoch:001, iter:00011] Loss: 2.362 | Acc: 12.642% | time: 2.14s 
[epoch:001, iter:00012] Loss: 2.351 | Acc: 12.891% | time: 2.25s 
[epoch:001, iter:00013] Loss: 2.346 | Acc: 13.462% | time: 2.37s 
[epoch:001, iter:00014] Loss: 2.335 | Acc: 13.839% | time: 2.48s 
[epoch:001, iter:00015] Loss: 2.328 | Acc: 14.167% | time: 2.60s 
[epoch:001, iter:00016] Loss: 2.318 | Acc: 14.648% | time: 2.71s 
[epoch:001, iter:00017] Loss: 2.314 | Acc: 15.257% | time: 2.83s 
[epoch:001, iter:00018] Loss: 2.319 | Acc: 15.365% | time: 2.94s 
[epoch:001, iter:00019] Loss: 2.310 | Acc: 15.625% | time: 3.06s 
[epoch:001, iter:00020] Loss: 2.314 | Acc: 15.781% | time: 3.17s 
[epoch:001, iter:00021] Loss: 2.311 | Acc: 16.295% | time: 3.29s 
[epoch:001, iter:00022] Loss: 2.305 | Acc: 16.548% | time: 3.40s 
[epoch:001, iter:00023] Loss: 2.307 | Acc: 16.916% | time: 3.52s 
[epoch:001, iter:00024] Loss: 2.311 | Acc: 16.667% | time: 3.63s 
[epoch:001, iter:00025] Loss: 2.302 | Acc: 16.750% | time: 3.75s 
[epoch:001, iter:00026] Loss: 2.294 | Acc: 16.827% | time: 3.87s 
[epoch:001, iter:00027] Loss: 2.293 | Acc: 16.840% | time: 3.98s 
[epoch:001, iter:00028] Loss: 2.286 | Acc: 17.132% | time: 4.10s 
[epoch:001, iter:00029] Loss: 2.281 | Acc: 17.295% | time: 4.21s 
[epoch:001, iter:00030] Loss: 2.273 | Acc: 17.604% | time: 4.32s 
[epoch:001, iter:00031] Loss: 2.265 | Acc: 17.994% | time: 4.44s 
[epoch:001, iter:00032] Loss: 2.269 | Acc: 18.164% | time: 4.55s 
[epoch:001, iter:00033] Loss: 2.268 | Acc: 18.371% | time: 4.67s 
[epoch:001, iter:00034] Loss: 2.264 | Acc: 18.428% | time: 4.78s 
[epoch:001, iter:00035] Loss: 2.262 | Acc: 18.750% | time: 4.90s 
[epoch:001, iter:00036] Loss: 2.253 | Acc: 18.793% | time: 5.01s 
[epoch:001, iter:00037] Loss: 2.244 | Acc: 19.046% | time: 5.13s 
[epoch:001, iter:00038] Loss: 2.243 | Acc: 19.038% | time: 5.24s 
[epoch:001, iter:00039] Loss: 2.240 | Acc: 19.030% | time: 5.36s 
[epoch:001, iter:00040] Loss: 2.231 | Acc: 19.258% | time: 5.47s 
[epoch:001, iter:00041] Loss: 2.233 | Acc: 19.322% | time: 5.59s 
[epoch:001, iter:00042] Loss: 2.234 | Acc: 19.531% | time: 5.70s 
[epoch:001, iter:00043] Loss: 2.231 | Acc: 19.767% | time: 5.82s 
[epoch:001, iter:00044] Loss: 2.231 | Acc: 19.922% | time: 5.93s 
[epoch:001, iter:00045] Loss: 2.229 | Acc: 20.000% | time: 6.05s 
[epoch:001, iter:00046] Loss: 2.226 | Acc: 20.075% | time: 6.16s 
[epoch:001, iter:00047] Loss: 2.222 | Acc: 20.246% | time: 6.28s 
[epoch:001, iter:00048] Loss: 2.222 | Acc: 20.182% | time: 6.39s 
[epoch:001, iter:00049] Loss: 2.217 | Acc: 20.344% | time: 6.51s 
[epoch:001, iter:00050] Loss: 2.211 | Acc: 20.500% | time: 6.62s 
[epoch:001, iter:00051] Loss: 2.206 | Acc: 20.680% | time: 6.74s 
[epoch:001, iter:00052] Loss: 2.207 | Acc: 20.643% | time: 6.85s 
[epoch:001, iter:00053] Loss: 2.204 | Acc: 20.784% | time: 6.97s 
[epoch:001, iter:00054] Loss: 2.199 | Acc: 20.978% | time: 7.08s 
[epoch:001, iter:00055] Loss: 2.196 | Acc: 21.023% | time: 7.20s 
[epoch:001, iter:00056] Loss: 2.192 | Acc: 21.038% | time: 7.31s 
[epoch:001, iter:00057] Loss: 2.195 | Acc: 20.970% | time: 7.43s 
[epoch:001, iter:00058] Loss: 2.196 | Acc: 21.040% | time: 7.54s 
[epoch:001, iter:00059] Loss: 2.192 | Acc: 21.107% | time: 7.66s 
[epoch:001, iter:00060] Loss: 2.188 | Acc: 21.172% | time: 7.77s 
[epoch:001, iter:00061] Loss: 2.185 | Acc: 21.388% | time: 7.89s 
[epoch:001, iter:00062] Loss: 2.178 | Acc: 21.497% | time: 8.00s 
[epoch:001, iter:00063] Loss: 2.176 | Acc: 21.602% | time: 8.12s 
[epoch:001, iter:00064] Loss: 2.176 | Acc: 21.558% | time: 8.23s 
[epoch:001, iter:00065] Loss: 2.175 | Acc: 21.659% | time: 8.35s 
[epoch:001, iter:00066] Loss: 2.174 | Acc: 21.662% | time: 8.46s 
[epoch:001, iter:00067] Loss: 2.168 | Acc: 21.805% | time: 8.58s 
[epoch:001, iter:00068] Loss: 2.165 | Acc: 21.829% | time: 8.69s 
[epoch:001, iter:00069] Loss: 2.161 | Acc: 22.011% | time: 9.34s 
[epoch:001, iter:00070] Loss: 2.158 | Acc: 22.143% | time: 9.47s 
[epoch:001, iter:00071] Loss: 2.158 | Acc: 22.029% | time: 9.58s 
[epoch:001, iter:00072] Loss: 2.157 | Acc: 22.114% | time: 9.70s 
[epoch:001, iter:00073] Loss: 2.153 | Acc: 22.089% | time: 9.81s 
[epoch:001, iter:00074] Loss: 2.149 | Acc: 22.297% | time: 9.93s 
[epoch:001, iter:00075] Loss: 2.147 | Acc: 22.417% | time: 10.04s 
[epoch:001, iter:00076] Loss: 2.146 | Acc: 22.533% | time: 10.16s 
[epoch:001, iter:00077] Loss: 2.144 | Acc: 22.666% | time: 10.27s 
[epoch:001, iter:00078] Loss: 2.139 | Acc: 22.837% | time: 10.39s 
[epoch:001, iter:00079] Loss: 2.137 | Acc: 22.923% | time: 10.51s 
[epoch:001, iter:00080] Loss: 2.134 | Acc: 23.066% | time: 10.62s 
[epoch:001, iter:00081] Loss: 2.132 | Acc: 23.167% | time: 10.74s 
[epoch:001, iter:00082] Loss: 2.127 | Acc: 23.190% | time: 10.85s 
[epoch:001, iter:00083] Loss: 2.123 | Acc: 23.306% | time: 10.97s 
[epoch:001, iter:00084] Loss: 2.120 | Acc: 23.326% | time: 11.08s 
[epoch:001, iter:00085] Loss: 2.119 | Acc: 23.419% | time: 11.20s 
[epoch:001, iter:00086] Loss: 2.115 | Acc: 23.619% | time: 11.32s 
[epoch:001, iter:00087] Loss: 2.114 | Acc: 23.635% | time: 11.43s 
[epoch:001, iter:00088] Loss: 2.113 | Acc: 23.704% | time: 11.55s 
[epoch:001, iter:00089] Loss: 2.112 | Acc: 23.666% | time: 11.66s 
[epoch:001, iter:00090] Loss: 2.109 | Acc: 23.715% | time: 11.78s 
[epoch:001, iter:00091] Loss: 2.105 | Acc: 23.918% | time: 11.89s 
[epoch:001, iter:00092] Loss: 2.103 | Acc: 23.930% | time: 12.01s 
[epoch:001, iter:00093] Loss: 2.100 | Acc: 23.992% | time: 12.12s 
[epoch:001, iter:00094] Loss: 2.101 | Acc: 23.969% | time: 12.24s 
[epoch:001, iter:00095] Loss: 2.100 | Acc: 24.046% | time: 12.35s 
[epoch:001, iter:00096] Loss: 2.098 | Acc: 24.121% | time: 12.47s 
[epoch:001, iter:00097] Loss: 2.095 | Acc: 24.130% | time: 12.58s 
[epoch:001, iter:00098] Loss: 2.096 | Acc: 24.091% | time: 12.70s 
[epoch:001, iter:00099] Loss: 2.096 | Acc: 24.069% | time: 12.82s 
[epoch:001, iter:00100] Loss: 2.093 | Acc: 24.125% | time: 12.93s 
[epoch:001, iter:00101] Loss: 2.092 | Acc: 24.118% | time: 13.05s 
[epoch:001, iter:00102] Loss: 2.090 | Acc: 24.173% | time: 13.16s 
[epoch:001, iter:00103] Loss: 2.087 | Acc: 24.242% | time: 13.28s 
[epoch:001, iter:00104] Loss: 2.083 | Acc: 24.384% | time: 13.39s 
[epoch:001, iter:00105] Loss: 2.083 | Acc: 24.315% | time: 13.51s 
[epoch:001, iter:00106] Loss: 2.081 | Acc: 24.396% | time: 13.62s 
[epoch:001, iter:00107] Loss: 2.078 | Acc: 24.474% | time: 13.74s 
[epoch:001, iter:00108] Loss: 2.076 | Acc: 24.523% | time: 13.85s 
[epoch:001, iter:00109] Loss: 2.074 | Acc: 24.584% | time: 13.97s 
[epoch:001, iter:00110] Loss: 2.071 | Acc: 24.716% | time: 14.08s 
[epoch:001, iter:00111] Loss: 2.067 | Acc: 24.817% | time: 14.20s 
[epoch:001, iter:00112] Loss: 2.066 | Acc: 24.791% | time: 14.31s 
[epoch:001, iter:00113] Loss: 2.065 | Acc: 24.862% | time: 14.43s 
[epoch:001, iter:00114] Loss: 2.064 | Acc: 24.863% | time: 14.54s 
[epoch:001, iter:00115] Loss: 2.060 | Acc: 25.041% | time: 14.66s 
[epoch:001, iter:00116] Loss: 2.059 | Acc: 25.081% | time: 14.77s 
[epoch:001, iter:00117] Loss: 2.054 | Acc: 25.254% | time: 14.89s 
[epoch:001, iter:00118] Loss: 2.052 | Acc: 25.358% | time: 15.00s 
[epoch:001, iter:00119] Loss: 2.051 | Acc: 25.381% | time: 15.12s 
[epoch:001, iter:00120] Loss: 2.048 | Acc: 25.443% | time: 15.23s 
[epoch:001, iter:00121] Loss: 2.048 | Acc: 25.374% | time: 15.35s 
[epoch:001, iter:00122] Loss: 2.045 | Acc: 25.474% | time: 15.46s 
[epoch:001, iter:00123] Loss: 2.043 | Acc: 25.483% | time: 15.58s 
[epoch:001, iter:00124] Loss: 2.041 | Acc: 25.542% | time: 15.69s 
[epoch:001, iter:00125] Loss: 2.039 | Acc: 25.637% | time: 15.81s 
[epoch:001, iter:00126] Loss: 2.039 | Acc: 25.645% | time: 15.92s 
[epoch:001, iter:00127] Loss: 2.037 | Acc: 25.677% | time: 16.04s 
[epoch:001, iter:00128] Loss: 2.034 | Acc: 25.720% | time: 16.15s 
[epoch:001, iter:00129] Loss: 2.032 | Acc: 25.787% | time: 16.27s 
[epoch:001, iter:00130] Loss: 2.031 | Acc: 25.829% | time: 16.39s 
[epoch:001, iter:00131] Loss: 2.031 | Acc: 25.847% | time: 16.50s 
[epoch:001, iter:00132] Loss: 2.030 | Acc: 25.876% | time: 16.62s 
[epoch:001, iter:00133] Loss: 2.028 | Acc: 25.916% | time: 16.73s 
[epoch:001, iter:00134] Loss: 2.026 | Acc: 25.898% | time: 16.85s 
[epoch:001, iter:00135] Loss: 2.024 | Acc: 26.007% | time: 16.96s 
[epoch:001, iter:00136] Loss: 2.023 | Acc: 26.057% | time: 17.08s 
